"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"73","149.14515164925953","79.81360549596654","0.046142578125","0.036865234375","0.055419921875","1560","0.0003022024823431496","24","0.0003022024823431496","0","0.0003022024823431496","0.0003022024823431496","72:68;74:68;79:68","74:0.003437028006704007;79:0.002617422271281533","74:0.002240211643386586;79:0.00296816766531649","0.046142578125","Yes"
"74","123.0890788691194","125.99336423362945","0.008056640625","0.010986328125","0.005126953125","1560","0.00040040514408124634","24","0.00040040514408124634","0","0.00040040514408124634","0.00040040514408124634","73:68;75:68","73:0.003437028006704007;75:0.003428319616766512","73:0.002240211643386586;75:0.002373100844679482","0.008056640625","Yes"
"75","105.7824903428379","128.94204977059348","0.006591796875","0.010009765625","0.003173828125","1560","0.0002455898643228562","24","0.0002455898643228562","0","0.0002455898643228562","0.0002455898643228562","59:68;74:68","59:0.002047201003379462;74:0.003428319616766512","59:0.002600979826241856;74:0.002373100844679482","0.006591796875","Yes"
"76","180.38157823909947","73.63798183765702","0.0377197265625","0.0361328125","0.039306640625","1560","0.0002453372862948432","24","0.0002453372862948432","0","0.0002453372862948432","0.0002453372862948432","81:68;61:68","81:0.0018106059769964489;61:0.0030732664739238913","81:0.0017592256146939933;61:0.002954960062751283","0.0377197265625","Yes"
"77","170.60186039409854","52.626569091676174","0.01513671875","0.019775390625","0.010498046875","1560","0.0004272172677937807","24","0.0004272172677937807","0","0.0004272172677937807","0.0004272172677937807","85:68;65:68","85:0.002722936933251846;65:0.004279199372986958","85:0.0021561528582375866;65:0.0028007854990526604","0.01513671875","Yes"
"78","112.90273874117523","109.78637231312064","0.0213623046875","0.0205078125","0.0166015625","1560","0.0003270987290408771","24","0.0003270987290408771","0","0.0003270987290408771","0.0003270987290408771","69:68;89:68","69:0.0028123282389821147;89:0.0036778605053343627","69:0.0023453717599881685;89:0.003418948896122237","0.0213623046875","Yes"
"79","151.45596168849315","47.86071680358118","0.0079345703125","0.011962890625","0.00390625","1560","0.00029658445481993943","24","0.00029658445481993943","0","0.00029658445481993943","0.00029658445481993943","93:68;73:68","93:0.0031834131054317982;73:0.002617422271281533","93:0.0026458820189861065;73:0.00296816766531649","0.0079345703125","Yes"
"80","142.60007254630526","121.77560082593216","0.0125732421875","0.01318359375","0.011962890625","1560","0.00020377344090775521","24","0.00020377344090775521","0","0.00020377344090775521","0.00020377344090775521","81:68","81:0.002399271191297181","81:0.002440911966673176","0.0125732421875","Yes"
"81","161.64028096688327","23.76542181391251","0.038330078125","0.0380859375","0.03857421875","1560","0.00017507751908909494","24","0.00017507751908909494","0","0.00017507751908909494","0.00017507751908909494","80:68;82:68;76:68","80:0.002399271191297181;82:0.0025069992735562985;76:0.0018106059769964489","80:0.002440911966673176;82:0.007811307226340047;76:0.0017592256146939933","0.038330078125","Yes"
"82","101.97762829084255","28.087234558177528","0.018798828125","0.015625","0.02197265625","1560","0.0002629158519044174","24","0.0002629158519044174","0","0.0002629158519044174","0.0002629158519044174","81:68;83:68","81:0.0025069992735562985;83:0.0026499487917191755","81:0.007811307226340047;83:0.002746086367905881","0.018798828125","Yes"
